"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",09/30/12,"Grand Prix of Gloucester – Day 2"
1,"Ryan TREBON","USA",32,01:04:06 AM,40,40,,,
2,"Jeremy POWERS","USA",30,01:04:30 AM,30,30,,,
3,"Ben BERDEN","BEL",38,01:04:36 AM,20,20,,,
4,"Timothy JOHNSON","USA",36,01:04:50 AM,15,15,,,
5,"Zach MCDONALD","USA",22,01:05:10 AM,10,10,,,
6,"James DRISCOLL","USA",27,01:05:27 AM,8,8,,,
7,"Ian FIELD","GBR",27,01:06:13 AM,6,6,,,
8,"Nicolas BAZIN","FRA",30,01:06:23 AM,4,4,,,
9,"Tristan SCHOUTEN","USA",31,01:06:54 AM,2,2,,,
10,"Yannick ECKMANN","GER",20,01:07:59 AM,1,1,,,
11,"Dylan MCNICHOLAS","USA",33,01:08:09 AM,,,,,
12,"Joachim PARBO","DEN",39,01:08:24 AM,,,,,
13,"Barry WICKS","USA",32,01:08:51 AM,,,,,
14,"Brian MATTER","USA",35,01:09:02 AM,,,,,
15,"Mike GARRIGAN","CAN",32,01:09:42 AM,,,,,
16,"Bradley WHITE","USA",31,01:09:43 AM,,,,,
17,"Justin LINDINE","USA",29,01:09:47 AM,,,,,
18,"Travis LIVERMON","USA",25,01:09:52 AM,,,,,
19,"Christian FAVATA","USA",35,01:09:56 AM,,,,,
20,"Craig RICHEY","CAN",29,01:10:09 AM,,,,,
21,"Evan MCNEELY","CAN",21,01:10:35 AM,,,,,
22,"Anthony CLARK","USA",26,01:10:39 AM,,,,,
23,"Dan TIMMERMAN","USA",33,01:11:08 AM,,,,,
24,"Jeremy DURRIN","USA",25,01:11:29 AM,,,,,
25,"Andrew L'ESPERANCE","CAN",22,01:11:38 AM,,,,,
26,"Manny GOGUEN","USA",22,01:11:38 AM,,,,,
27,"Adam MYERSON","USA",41,01:11:39 AM,,,,,
28,"Marc-Andre DAIGLE","CAN",32,01:11:46 AM,,,,,
29,"Eric TONKIN","USA",39,01:11:46 AM,,,,,
30,"Joël DESGRENIERS","CAN",23,01:11:56 AM,,,,,
31,"Jeffrey BAHNSON","USA",20,01:12:06 AM,,,,,
32,"Nicholas KEOUGH","USA",24,01:12:11 AM,,,,,
33,"Daniel CHABANOV","USA",26,01:12:49 AM,,,,,
34,"Flavien DASSONVILLE","FRA",22,01:13:00 AM,,,,,
35,"Derrick ST JOHN","CAN",36,01:13:16 AM,,,,,
36,"Chase DICKENS","USA",18,01:13:41 AM,,,,,
37,"Michael BRODERICK","USA",40,01:14:23 AM,,,,,
38,"Thomas SAMPSON","USA",24,01:14:40 AM,,,,,
39,"Patrick CHARTRAND","CAN",22,01:15:09 AM,,,,,
40,"Jesse KEOUGH","USA",21,01:15:20 AM,,,,,
41,"Maksym SHEPITKO","UKR",25,01:15:37 AM,,,,,
42,"Colin REUTER","USA",31," ",,,,,
43,"Mark MCCORMACK","USA",43," ",,,,,
44,"Garrett MCLEOD","CAN",24," ",,,,,
45,"Robert MARION","USA",31," ",,,,,
46,"Adam ST. GERMAIN","USA",29," ",,,,,
47,"Joshua THORNTON","USA",34," ",,,,,
48,"Synjen MARROCCO","USA",22," ",,,,,
49,"Conor O'BRIEN","CAN",21," ",,,,,
50,"Felix WILBERG","CAN",20," ",,,,,
51,"Evan HUFF","USA",28," ",,,,,
52,"Benjamin PADILLA","USA",25," ",,,,,
53,"Michael WISSELL","USA",36," ",,,,,
54,"Jesse ANTHONY","USA",28," ",,,,,
55,"Ian SCHON","USA",23," ",,,,,
56,"Jean-Philippe THIBAULT-ROBERGE","CAN",24," ",,,,,
57,"Johannes HUSEBY","USA",38," ",,,,,
58,"Eric LUNDGREN","USA",29," ",,,,,
59,"John BURNS","USA",37," ",,,,,
60,"Thierry LALIBERTÉ","CAN",34," ",,,,,
61,"Kris DOBIE","USA",29," ",,,,,
62,"Pierre-Olivier BOILY","CAN",31," ",,,,,
63,"Evan MURPHY","USA",25," ",,,,,
64,"Cary FRIDRICH","USA",30," ",,,,,
65,"Joshua LEHMANN","USA",21," ",,,,,
66,"Joshua FRIEDMAN","USA",33," ",,,,,
67,"Adam SULLIVAN","USA",30," ",,,,,
68,"Kiernan ORANGE","CAN",21," ",,,,,
69,"Timothy DURRIN","USA",29," ",,,,,
70,"Andrew LYSAGHT","USA",29," ",,,,,
71,"Gordon DANIELL","USA",35," ",,,,,
72,"Kevin WOLFSON","USA",27,,,,,,
